agent_id,horizon_step_0,horizon_step_1,horizon_step_2,horizon_step_3,horizon_step_4
724,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
725,"(17, 1)","(11, 0)","(11, 0)","(11, 0)","(11, 0)"
726,"(16, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
727,"(1, 1)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
728,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
729,"(9, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
730,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
731,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
732,"(13, 0)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
733,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
734,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
735,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
736,"(17, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
737,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
738,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
739,"(0, 1)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
740,"(5, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
741,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
742,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
743,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
744,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
745,"(8, 1)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
746,"(13, 1)","(14, 1)","(10, 1)","(7, 1)","(18, 0)"
747,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
748,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
749,"(13, 1)","(9, 1)","(6, 1)","(3, 1)","(18, 0)"
750,"(13, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
751,"(16, 1)","(12, 0)","(12, 0)","(12, 0)","(12, 0)"
752,"(14, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
753,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
754,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
755,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
756,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
757,"(8, 0)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
758,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
759,"(9, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
760,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
761,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
762,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
763,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
764,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
765,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
766,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
767,"(1, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)"
768,"(8, 1)","(5, 1)","(6, 0)","(6, 0)","(6, 0)"
769,"(8, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
770,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
771,"(13, 0)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
772,"(0, 1)","(1, 1)","(2, 1)","(3, 1)","(18, 0)"
773,"(16, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
774,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
775,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
776,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
777,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
778,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
779,"(4, 0)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
780,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
781,"(13, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
782,"(4, 1)","(1, 0)","(1, 0)","(1, 0)","(1, 0)"
783,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
